,tweet_count,City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link,day,hour,minute
42,,"Paradise, CA",1059153903646896129,"It's such a joy to have a client love their hair again! The lovely lady had brassy, grown out color, and wanted a lighter, brighter look with deep dimension. I think we hit the nail on the… https://www.instagram.com/p/BpxNSNQnuZn/?utm_source=ig_twitter_share&amp;igshid=zjsy7j6nfqka",2018-11-04 18:42:23+00:00,,EvelynToddHair,,0,0,https://twitter.com/EvelynToddHair/status/1059153903646896129,4,18,42
43,,"Paradise, CA",1059114138805460993,"Many times I wonder why I have to live in chronic pain? Why Lord, do you allow this? What purpose is it serving? And then I am reminded that I would wander and stray and rely on my own… https://www.instagram.com/p/Bpw7MuTHH1o/?utm_source=ig_twitter_share&amp;igshid=1xlbt3gnayazz",2018-11-04 16:04:22+00:00,,itry2frog1st,,0,0,https://twitter.com/itry2frog1st/status/1059114138805460993,4,16,4
44,,"Paradise, CA",1059113902754160640,Chico CA Sun Nov 4th AM Forecast: TODAY Partly Cloudy Hi 80 TONIGHT Mostly Clear Lo 52,2018-11-04 16:03:26+00:00,,_ChicoCA,,1,0,https://twitter.com/_ChicoCA/status/1059113902754160640,4,16,3
45,,"Paradise, CA",1059109414412713985,Baby Charlie’s first birthday party!! So much fun celebrating our adorable grandson with family and friends. Congrats brianacake and shawnclark7 for creating a wonderful year 1 for… https://www.instagram.com/p/Bpw0n-FHrb3/?utm_source=ig_twitter_share&amp;igshid=qygktqu48kim,2018-11-04 15:45:36+00:00,,CuratedTravelHL,,0,0,https://twitter.com/CuratedTravelHL/status/1059109414412713985,4,15,45
46,,"Paradise, CA",1059099680645279747,Baby Charlie’s first birthday Party!! So much fun celebrating our adorable grandson with family and friends. Congrats brianacake and shawnclark7 for creating a wonderful year 1 for… https://www.instagram.com/p/Bpw0n-FHrb3/?utm_source=ig_twitter_share&amp;igshid=1eyfmoxibzucw,2018-11-04 15:06:55+00:00,,CuratedTravelHL,,0,0,https://twitter.com/CuratedTravelHL/status/1059099680645279747,4,15,6
47,,"Paradise, CA",1059090435338104832,"Morning breaking as we #fallback towards wintertime #sunrise #wintersky #socal @Paradise, California https://www.instagram.com/liveg2g/p/BpwwbBcHQMS/?utm_source=ig_twitter_share&amp;igshid=13yzt9r6w5hvu",2018-11-04 14:30:11+00:00,#fallback #sunrise #wintersky #socal,liveg2g,,0,0,https://twitter.com/liveg2g/status/1059090435338104832,4,14,30
48,,"Paradise, CA",1059040273542443009,"Chico, Californiaに写真を投稿しましたhttps://www.instagram.com/p/BpwZnVzn4mU/?utm_source=ig_twitter_share&amp;igshid=11qoy9vi6sv0s",2018-11-04 11:10:51+00:00,,Highwired,,0,0,https://twitter.com/Highwired/status/1059040273542443009,4,11,10
49,,"Paradise, CA",1058946551840755712,"Gose w/Mango, Lime& Pink Himalayan Sea Salt @The Chico Taproom https://www.instagram.com/p/Bpvu_f3nQUq/?utm_source=ig_twitter_share&amp;igshid=1971le0yrfoub",2018-11-04 04:58:26+00:00,,Sporticuslive,,0,0,https://twitter.com/Sporticuslive/status/1058946551840755712,4,4,58
50,,"Paradise, CA",1058906766472183808,i miss these picnics @keelinaiko @Pomona West Apartments https://www.instagram.com/p/Bpvc5aSFywtSYYQveLc-cY6peIt6T16XUU_6b00/?utm_source=ig_twitter_share&amp;igshid=1gcyjpqm3jh3k,2018-11-04 02:20:21+00:00,,nocakeyky,@keelinaiko,0,0,https://twitter.com/nocakeyky/status/1058906766472183808,4,2,20
51,,"Paradise, CA",1058881832639442944,"i found the beach boy @Chico, California https://www.instagram.com/p/BpvRj2LnOeY/?utm_source=ig_twitter_share&amp;igshid=1byz0obotmlpi",2018-11-04 00:41:16+00:00,,Quadmft,,0,0,https://twitter.com/Quadmft/status/1058881832639442944,4,0,41
52,,"Paradise, CA",1058881109843476480,"Last night I needed the energy support from these three... NingXia Zyng, NingXia Nitro & Lime Vitality EO. . Natural, toxin free health and wellness support is the only option for our… https://www.instagram.com/p/BpvCEswnptB/?utm_source=ig_twitter_share&amp;igshid=1h39harn0fshz",2018-11-04 00:38:24+00:00,,itry2frog1st,,0,0,https://twitter.com/itry2frog1st/status/1058881109843476480,4,0,38
